experiment,run_id,cycle,scheme,scenario,operation,N,q,document_id,keywords,batch_update_ms,first_query_ms,migrated_updates,result_size,correct,seed
E8,0,70,SliceBF,first_after_update,insert,50000,3,8414913,11,0.4395,0.5243,50,1,1,20260711
E8,0,71,SliceBF,first_after_update,delete,50000,3,8407054,10,0.2613,1.199,264,0,1,20260711
E8,0,71,SliceBF,first_after_update,insert,50000,3,8407054,10,0.4322,1.2962,276,1,1,20260711
E8,0,72,SliceBF,first_after_update,delete,50000,3,8411637,13,0.439,1.0853,214,1,1,20260711
E8,0,72,SliceBF,first_after_update,insert,50000,3,8411637,13,0.4782,1.1155,226,2,1,20260711
E8,0,73,SliceBF,first_after_update,delete,50000,3,8410525,13,0.2927,0.6071,66,0,1,20260711
E8,0,73,SliceBF,first_after_update,insert,50000,3,8410525,13,0.4726,0.6443,78,1,1,20260711
E8,0,74,SliceBF,first_after_update,delete,50000,3,8403780,10,0.2671,1.5191,276,46,1,20260711
E8,0,74,SliceBF,first_after_update,insert,50000,3,8403780,10,0.4439,1.5422,288,47,1,20260711
E8,0,75,SliceBF,first_after_update,delete,50000,3,8407069,10,0.2683,1.2078,240,13,1,20260711
E8,0,75,SliceBF,first_after_update,insert,50000,3,8407069,10,0.4474,1.2892,252,14,1,20260711
E8,0,76,SliceBF,first_after_update,delete,50000,3,8418406,15,0.3104,0.549,58,0,1,20260711
E8,0,76,SliceBF,first_after_update,insert,50000,3,8418406,15,0.5418,0.5858,70,1,1,20260711
E8,0,77,SliceBF,first_after_update,delete,50000,3,8421121,9,0.253,0.7515,96,0,1,20260711
E8,0,77,SliceBF,first_after_update,insert,50000,3,8421121,9,0.4095,0.8741,108,1,1,20260711
E8,0,78,SliceBF,first_after_update,delete,50000,3,8419919,13,0.2966,1.2786,280,0,1,20260711
E8,0,78,SliceBF,first_after_update,insert,50000,3,8419919,13,0.4738,1.2979,292,1,1,20260711
E8,0,79,SliceBF,first_after_update,delete,50000,3,8406575,16,0.321,1.2733,284,0,1,20260711
E8,0,79,SliceBF,first_after_update,insert,50000,3,8406575,16,0.5517,1.3295,296,1,1,20260711
E8,0,80,SliceBF,first_after_update,delete,50000,3,8407248,10,0.2645,1.1237,236,1,1,20260711
E8,0,80,SliceBF,first_after_update,insert,50000,3,8407248,10,0.422,1.1601,248,2,1,20260711
E8,0,81,SliceBF,first_after_update,delete,50000,3,8408540,11,0.2711,3.2409,876,8,1,20260711
E8,0,81,SliceBF,first_after_update,insert,50000,3,8408540,11,0.4352,3.7512,888,9,1,20260711
E8,0,82,SliceBF,first_after_update,delete,50000,3,8407330,12,0.2879,1.4916,316,23,1,20260711
E8,0,82,SliceBF,first_after_update,insert,50000,3,8407330,12,0.4651,1.5113,328,24,1,20260711
E8,0,83,SliceBF,first_after_update,delete,50000,3,8410017,10,0.2652,4.1584,940,184,1,20260711
E8,0,83,SliceBF,first_after_update,insert,50000,3,8410017,10,0.4345,4.4042,952,185,1,20260711
E8,0,84,SliceBF,first_after_update,delete,50000,3,8414471,11,0.2828,1.1714,244,0,1,20260711
E8,0,84,SliceBF,first_after_update,insert,50000,3,8414471,11,0.4434,1.2002,256,1,1,20260711
E8,0,85,SliceBF,first_after_update,delete,50000,3,8416431,15,0.3113,0.4198,24,0,1,20260711
E8,0,85,SliceBF,first_after_update,insert,50000,3,8416431,15,0.5058,0.4571,36,1,1,20260711
E8,0,86,SliceBF,first_after_update,delete,50000,3,8414281,13,0.2874,0.8184,130,0,1,20260711
E8,0,86,SliceBF,first_after_update,insert,50000,3,8414281,13,0.4725,0.8462,142,1,1,20260711
E8,0,87,SliceBF,first_after_update,delete,50000,3,8408294,13,0.2943,0.711,90,0,1,20260711
E8,0,87,SliceBF,first_after_update,insert,50000,3,8408294,13,0.4691,0.741,102,1,1,20260711
E8,0,88,SliceBF,first_after_update,delete,50000,3,8410838,10,0.2639,0.7839,128,1,1,20260711
E8,0,88,SliceBF,first_after_update,insert,50000,3,8410838,10,0.4257,0.8208,140,2,1,20260711
E8,0,89,SliceBF,first_after_update,delete,50000,3,8410882,10,0.2634,3.0375,788,34,1,20260711
E8,0,89,SliceBF,first_after_update,insert,50000,3,8410882,10,0.5776,3.1164,800,35,1,20260711
E8,0,90,SliceBF,first_after_update,delete,50000,3,8420631,12,0.3143,3.2636,794,2,1,20260711
E8,0,90,SliceBF,first_after_update,insert,50000,3,8420631,12,0.4643,2.9471,806,3,1,20260711
E8,0,91,SliceBF,first_after_update,delete,50000,3,8501685,14,0.3026,0.5775,58,0,1,20260711
E8,0,91,SliceBF,first_after_update,insert,50000,3,8501685,14,0.4959,0.5883,70,1,1,20260711
E8,0,92,SliceBF,first_after_update,delete,50000,3,8418206,16,0.3189,1.5104,264,30,1,20260711
E8,0,92,SliceBF,first_after_update,insert,50000,3,8418206,16,0.5203,1.5217,276,31,1,20260711
E8,0,93,SliceBF,first_after_update,delete,50000,3,8412985,9,0.2587,1.5536,338,0,1,20260711
E8,0,93,SliceBF,first_after_update,insert,50000,3,8412985,9,0.4132,1.5244,350,1,1,20260711
E8,0,94,SliceBF,first_after_update,delete,50000,3,8415488,8,0.1587,3.9823,1060,44,1,20260711
E8,0,94,SliceBF,first_after_update,insert,50000,3,8415488,8,0.325,4.0933,1072,45,1,20260711
E8,0,95,SliceBF,first_after_update,delete,50000,3,8505051,13,0.2965,0.4305,20,0,1,20260711
E8,0,95,SliceBF,first_after_update,insert,50000,3,8505051,13,0.4753,0.4641,32,1,1,20260711
E8,0,96,SliceBF,first_after_update,delete,50000,3,8412299,13,0.294,2.0274,370,1,1,20260711
E8,0,96,SliceBF,first_after_update,insert,50000,3,8412299,13,0.4784,1.6677,382,2,1,20260711
E8,0,97,SliceBF,first_after_update,delete,50000,3,8420664,14,0.3069,1.4681,324,9,1,20260711
